ID,Front Camera,Rear Camera,Camera,Type
709,8,12,0.0625,Sensible
717,8,12,0.0625,Sensible
16,24,12,0.1875,Photophile
174,24,12,0.1875,Photophile
17,8,12,0.0625,Sensible
105,8,12,0.0625,Sensible
282,8,12,0.0625,Sensible
408,8,12,0.0625,Sensible
438,8,12,0.0625,Sensible
466,8,12,0.0625,Sensible
589,8,12,0.0625,Sensible
690,8,12,0.0625,Sensible
27,10,12,0.078125,Sensible
47,10,12,0.078125,Sensible
48,10,12,0.078125,Sensible
120,10,12,0.078125,Sensible
123,10,12,0.078125,Sensible
261,10,12,0.078125,Sensible
352,10,12,0.078125,Sensible
379,10,12,0.078125,Sensible
451,10,12,0.078125,Sensible
461,10,12,0.078125,Sensible
483,10,12,0.078125,Sensible
507,10,12,0.078125,Sensible
527,10,12,0.078125,Sensible
536,10,12,0.078125,Sensible
541,10,12,0.078125,Sensible
572,10,12,0.078125,Sensible
639,10,12,0.078125,Sensible
724,10,12,0.078125,Sensible
741,10,12,0.078125,Sensible
18,8,12,0.0625,Sensible
668,8,12,0.0625,Sensible
40,7,12,0.0546875,Sensible
93,7,12,0.0546875,Sensible
145,7,12,0.0546875,Sensible
157,7,12,0.0546875,Sensible
160,7,12,0.0546875,Sensible
192,7,12,0.0546875,Sensible
197,7,12,0.0546875,Sensible
269,7,12,0.0546875,Sensible
308,7,12,0.0546875,Sensible
333,7,12,0.0546875,Sensible
358,7,12,0.0546875,Sensible
368,7,12,0.0546875,Sensible
383,7,12,0.0546875,Sensible
412,7,12,0.0546875,Sensible
425,7,12,0.0546875,Sensible
492,7,12,0.0546875,Sensible
494,7,12,0.0546875,Sensible
511,7,12,0.0546875,Sensible
532,7,12,0.0546875,Sensible
606,7,12,0.0546875,Sensible
612,7,12,0.0546875,Sensible
636,7,12,0.0546875,Sensible
663,7,12,0.0546875,Sensible
682,7,12,0.0546875,Sensible
20,13,13,0.11002604166666667,Sensible
240,13,13,0.11002604166666667,Sensible
373,13,13,0.11002604166666667,Sensible
607,13,13,0.11002604166666667,Sensible
735,13,13,0.11002604166666667,Sensible
22,32,12,0.25,Selfie-Addict
106,32,12,0.25,Selfie-Addict
227,32,12,0.25,Selfie-Addict
742,32,12,0.25,Selfie-Addict
51,12,12,0.09375,Sensible
67,12,12,0.09375,Sensible
116,12,12,0.09375,Sensible
132,12,12,0.09375,Sensible
156,12,12,0.09375,Sensible
238,12,12,0.09375,Sensible
271,12,12,0.09375,Sensible
363,12,12,0.09375,Sensible
369,12,12,0.09375,Sensible
381,12,12,0.09375,Sensible
407,12,12,0.09375,Sensible
430,12,12,0.09375,Sensible
433,12,12,0.09375,Sensible
528,12,12,0.09375,Sensible
632,12,12,0.09375,Sensible
656,12,12,0.09375,Sensible
659,12,12,0.09375,Sensible
667,12,12,0.09375,Sensible
676,12,12,0.09375,Sensible
704,12,12,0.09375,Sensible
706,12,12,0.09375,Sensible
24,12,12,0.09375,Sensible
65,12,12,0.09375,Sensible
95,12,12,0.09375,Sensible
171,12,12,0.09375,Sensible
178,12,12,0.09375,Sensible
191,12,12,0.09375,Sensible
289,12,12,0.09375,Sensible
310,12,12,0.09375,Sensible
387,12,12,0.09375,Sensible
432,12,12,0.09375,Sensible
456,12,12,0.09375,Sensible
458,12,12,0.09375,Sensible
467,12,12,0.09375,Sensible
508,12,12,0.09375,Sensible
548,12,12,0.09375,Sensible
550,12,12,0.09375,Sensible
561,12,12,0.09375,Sensible
580,12,12,0.09375,Sensible
581,12,12,0.09375,Sensible
590,12,12,0.09375,Sensible
605,12,12,0.09375,Sensible
614,12,12,0.09375,Sensible
626,12,12,0.09375,Sensible
635,12,12,0.09375,Sensible
665,12,12,0.09375,Sensible
674,12,12,0.09375,Sensible
719,12,12,0.09375,Sensible
58,8,12,0.0625,Sensible
150,8,12,0.0625,Sensible
181,8,12,0.0625,Sensible
313,8,12,0.0625,Sensible
609,8,12,0.0625,Sensible
117,8,12,0.0625,Sensible
122,8,12,0.0625,Sensible
148,8,12,0.0625,Sensible
187,8,12,0.0625,Sensible
231,8,12,0.0625,Sensible
362,8,12,0.0625,Sensible
364,8,12,0.0625,Sensible
377,8,12,0.0625,Sensible
400,8,12,0.0625,Sensible
424,8,12,0.0625,Sensible
435,8,12,0.0625,Sensible
443,8,12,0.0625,Sensible
537,8,12,0.0625,Sensible
539,8,12,0.0625,Sensible
563,8,12,0.0625,Sensible
679,8,12,0.0625,Sensible
686,8,12,0.0625,Sensible
701,8,12,0.0625,Sensible
61,8,12,0.0625,Sensible
66,8,12,0.0625,Sensible
83,8,12,0.0625,Sensible
112,8,12,0.0625,Sensible
138,8,12,0.0625,Sensible
142,8,12,0.0625,Sensible
194,8,12,0.0625,Sensible
206,8,12,0.0625,Sensible
257,8,12,0.0625,Sensible
275,8,12,0.0625,Sensible
319,8,12,0.0625,Sensible
326,8,12,0.0625,Sensible
330,8,12,0.0625,Sensible
345,8,12,0.0625,Sensible
444,8,12,0.0625,Sensible
475,8,12,0.0625,Sensible
586,8,12,0.0625,Sensible
597,8,12,0.0625,Sensible
602,8,12,0.0625,Sensible
648,8,12,0.0625,Sensible
661,8,12,0.0625,Sensible
235,25,48,0.78125,Selfie-Addict
320,25,48,0.78125,Selfie-Addict
587,25,48,0.78125,Selfie-Addict
31,16,48,0.5,Photophile
284,16,48,0.5,Photophile
482,16,48,0.5,Photophile
